2026-06-15 16:32:42,173 | INFO    | matplotlib.font_manager | generated new fontManager
2026-06-15 20:56:45,443 | INFO    | primp | response: https://html.duckduckgo.com/html 202
2026-06-15 20:56:45,444 | INFO    | duckduckgo_search.DDGS | Error to search using html backend: https://html.duckduckgo.com/html 202 Ratelimit
2026-06-15 20:56:45,445 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 1 falló: https://html.duckduckgo.com/html 202 Ratelimit. Esperando 1.2s...
2026-06-15 20:56:47,559 | INFO    | primp | response: https://html.duckduckgo.com/html 202
2026-06-15 20:56:47,560 | INFO    | duckduckgo_search.DDGS | Error to search using html backend: https://html.duckduckgo.com/html 202 Ratelimit
2026-06-15 20:56:49,095 | INFO    | primp | response: https://lite.duckduckgo.com/lite/ 202
2026-06-15 20:56:49,097 | INFO    | duckduckgo_search.DDGS | Error to search using lite backend: https://lite.duckduckgo.com/lite/ 202 Ratelimit
2026-06-15 20:56:49,098 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 2 falló: https://lite.duckduckgo.com/lite/ 202 Ratelimit. Esperando 2.9s...
2026-06-15 20:56:52,923 | INFO    | primp | response: https://lite.duckduckgo.com/lite/ 202
2026-06-15 20:56:52,925 | INFO    | duckduckgo_search.DDGS | Error to search using lite backend: https://lite.duckduckgo.com/lite/ 202 Ratelimit
2026-06-15 20:56:54,437 | INFO    | primp | response: https://html.duckduckgo.com/html 202
2026-06-15 20:56:54,439 | INFO    | duckduckgo_search.DDGS | Error to search using html backend: https://html.duckduckgo.com/html 202 Ratelimit
2026-06-15 20:56:54,440 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 3 falló: https://html.duckduckgo.com/html 202 Ratelimit. Esperando 4.4s...
2026-06-15 20:56:59,463 | INFO    | primp | response: https://html.duckduckgo.com/html 202
2026-06-15 20:56:59,464 | INFO    | duckduckgo_search.DDGS | Error to search using html backend: https://html.duckduckgo.com/html 202 Ratelimit
2026-06-15 20:57:00,818 | INFO    | primp | response: https://lite.duckduckgo.com/lite/ 202
2026-06-15 20:57:00,819 | INFO    | duckduckgo_search.DDGS | Error to search using lite backend: https://lite.duckduckgo.com/lite/ 202 Ratelimit
2026-06-15 20:57:00,821 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 4 falló: https://lite.duckduckgo.com/lite/ 202 Ratelimit. Esperando 8.9s...
2026-06-15 20:57:07,809 | ERROR   | jarvis.mcp.search_server | DuckDuckGo falló después de 4 intentos: https://lite.duckduckgo.com/lite/ 202 Ratelimit
2026-06-15 20:59:23,780 | INFO    | primp | response: https://www.bing.com/search?q=latest+stable+Python+version+2025 200
2026-06-15 20:59:38,961 | INFO    | primp | response: https://www.bing.com/search?q=latest+stable+Python+version+2025 200
2026-06-15 21:00:40,740 | INFO    | primp | response: https://www.bing.com/search?q=latest+stable+Python+version+2025 200
2026-06-15 21:05:12,502 | INFO    | primp | response: https://www.bing.com/search?q=Tokyo+population+2024 200
2026-06-15 21:10:46,133 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 1 falló: DDGS.__init__() got an unexpected keyword argument 'headers'. Esperando 1.9s...
2026-06-15 21:10:46,129 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 2 falló: DDGS.__init__() got an unexpected keyword argument 'headers'. Esperando 2.3s...
2026-06-15 21:10:48,495 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 3 falló: DDGS.__init__() got an unexpected keyword argument 'headers'. Esperando 4.5s...
2026-06-15 21:10:53,315 | WARNING | jarvis.mcp.search_server | DuckDuckGo intento 4 falló: DDGS.__init__() got an unexpected keyword argument 'headers'. Esperando 8.3s...
2026-06-15 21:11:02,205 | ERROR   | jarvis.mcp.search_server | DuckDuckGo falló después de 4 intentos: DDGS.__init__() got an unexpected keyword argument 'headers'
2026-06-15 21:12:24,186 | INFO    | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=Tokyo%20population%202024 200
2026-06-15 21:12:24,601 | INFO    | primp | response: https://grokipedia.com/api/typeahead?query=Tokyo+population+2024&limit=1 200
2026-06-15 21:12:25,016 | INFO    | primp | response: https://www.startpage.com/ 200
2026-06-15 21:12:25,243 | INFO    | primp | response: https://www.startpage.com/sp/search 200
2026-06-15 21:12:25,729 | INFO    | primp | response: https://search.yahoo.com/search;_ylt=EpBPzH3cVbncEJMlcleoNxMN;_ylu=IhiQmO9jZYUE28OsfJEzFIophuZzRJmrzdg_yNsbgC983FY?p=Tokyo+population+2024 200
2026-06-15 21:12:54,473 | INFO    | ddgs.ddgs | Error in engine mojeek: TimeoutException(TimeoutError('error sending request for url (https://www.mojeek.com/search?q=Tokyo+population+2024) > operation timed out'))
2026-06-15 21:12:55,495 | INFO    | primp | response: https://search.brave.com/search?q=Tokyo+population+2024&source=web 200
2026-06-15 21:55:30,490 | INFO    | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=latest%20stable%20version%20of%20Python%20programming%20language%20notable%20features 200
2026-06-15 21:55:30,886 | INFO    | primp | response: https://grokipedia.com/api/typeahead?query=latest+stable+version+of+Python+programming+language+notable+features&limit=1 200
2026-06-15 21:55:31,472 | INFO    | primp | response: https://search.yahoo.com/search;_ylt=ROlhiSlAwm1swKoJr4mRdli-;_ylu=wFtG0kSZGHjBTuuAhEWzGgIXQ0GeT4XZ9hsR3Mn4C7LdZ_I?p=latest+stable+version+of+Python+programming+language+notable+features 200
2026-06-15 21:55:50,652 | INFO    | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=current%20population%20of%20Tokyo%20%2B%20recent%20news 200
2026-06-15 21:55:50,659 | INFO    | primp | response: https://grokipedia.com/api/typeahead?query=current+population+of+Tokyo+%2B+recent+news&limit=1 200
2026-06-15 21:55:51,559 | INFO    | primp | response: https://search.brave.com/search?q=current+population+of+Tokyo+%2B+recent+news&source=web 200
2026-06-15 22:01:55,401 | INFO    | jarvis.benchmarks.plots | Saved plot quant_size_vs_speed
2026-06-15 22:01:56,032 | INFO    | jarvis.benchmarks.plots | Saved plot quant_tradeoff
2026-06-15 22:01:56,978 | INFO    | jarvis.benchmarks.plots | Saved plot quant_quality_by_category
2026-06-15 22:01:58,155 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_latency
2026-06-15 22:01:58,984 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_ram
2026-06-15 23:45:35,169 | INFO    | jarvis.benchmarks.plots | Saved plot quant_size_vs_speed
2026-06-15 23:45:35,791 | INFO    | jarvis.benchmarks.plots | Saved plot quant_tradeoff
2026-06-15 23:45:36,658 | INFO    | jarvis.benchmarks.plots | Saved plot quant_quality_by_category
2026-06-15 23:45:37,782 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_latency
2026-06-15 23:45:38,612 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_ram
2026-06-15 23:47:06,551 | INFO    | jarvis.benchmarks.plots | Saved plot quant_size_vs_speed
2026-06-15 23:47:07,179 | INFO    | jarvis.benchmarks.plots | Saved plot quant_tradeoff
2026-06-15 23:47:08,038 | INFO    | jarvis.benchmarks.plots | Saved plot quant_quality_by_category
2026-06-15 23:47:09,165 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_latency
2026-06-15 23:47:09,999 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_ram
2026-06-15 23:48:07,741 | INFO    | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-06-15 23:48:09,644 | ERROR   | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-06-15 23:48:09,746 | ERROR   | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-06-15 23:48:10,161 | INFO    | jarvis.rag.corpus | Saved attention_is_all_you_need.pdf (2163.3 KB)
2026-06-15 23:48:10,444 | INFO    | jarvis.rag.corpus | Saved bert.pdf (757.0 KB)
2026-06-15 23:48:11,131 | INFO    | jarvis.rag.corpus | Saved gpt3_few_shot_learners.pdf (6609.4 KB)
2026-06-15 23:48:14,540 | INFO    | jarvis.rag.corpus | Saved llama2.pdf (13341.1 KB)
2026-06-15 23:48:14,786 | INFO    | jarvis.rag.corpus | Saved rag_knowledge_intensive.pdf (864.6 KB)
2026-06-15 23:48:15,286 | INFO    | jarvis.rag.corpus | Saved lora.pdf (1571.8 KB)
2026-06-15 23:48:49,809 | INFO    | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-06-15 23:48:50,624 | ERROR   | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-06-15 23:48:50,632 | ERROR   | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-06-15 23:48:51,260 | ERROR   | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-06-15 23:49:01,386 | INFO    | jarvis.rag.corpus | Loaded 7 documents from /mnt/c/Users/ricky/Downloads/local-jarvis/data/corpus
2026-06-15 23:50:09,592 | ERROR   | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionAddEvent: capture() takes 1 positional argument but 3 were given
2026-06-15 23:53:01,164 | INFO    | jarvis.benchmarks.plots | Saved plot quant_size_vs_speed
2026-06-15 23:53:01,787 | INFO    | jarvis.benchmarks.plots | Saved plot quant_tradeoff
2026-06-15 23:53:02,641 | INFO    | jarvis.benchmarks.plots | Saved plot quant_quality_by_category
2026-06-15 23:53:03,782 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_latency
2026-06-15 23:53:04,606 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_ram
2026-06-15 23:54:42,188 | INFO    | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=latest%20stable%20version%20of%20Python%20programming%20language%20notable%20features 200
2026-06-15 23:54:44,913 | INFO    | primp | response: https://grokipedia.com/api/typeahead?query=latest+stable+version+of+Python+programming+language+notable+features&limit=1 200
2026-06-15 23:54:45,357 | INFO    | primp | response: https://search.yahoo.com/search;_ylt=6nMitlccxTUnmzuhMDqrUonV;_ylu=CNQ1_e3rXBCXfOcCKq8OmpiGvNhyePMxWfoFrYbTcC4Tq_g?p=latest+stable+version+of+Python+programming+language+notable+features 200
2026-06-15 23:55:06,132 | INFO    | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=current%20population%20of%20Tokyo%20%2B%20recent%20news 200
2026-06-15 23:55:06,432 | INFO    | primp | response: https://grokipedia.com/api/typeahead?query=current+population+of+Tokyo+%2B+recent+news&limit=1 200
2026-06-15 23:55:36,438 | INFO    | ddgs.ddgs | Error in engine mojeek: TimeoutException(TimeoutError('error sending request for url (https://www.mojeek.com/search?q=current+population+of+Tokyo+%2B+recent+news) > operation timed out'))
2026-06-15 23:55:36,906 | INFO    | primp | response: https://search.yahoo.com/search;_ylt=_HWVFVmO6dmEgCkXYLnRN9If;_ylu=DfBafWDTjt22XYqkWRFo1-J1IWOY3muqxXBHioKmRhguSW8?p=current+population+of+Tokyo+%2B+recent+news 200
2026-06-15 23:55:37,203 | INFO    | httpx | HTTP Request: POST https://html.duckduckgo.com/html/ "HTTP/2 202 Accepted"
